,Ichthomyzony_castaneus,Ichthyomyzon_gagei,Acipenser_oxyrhynchus,Scaphirhynchus_albus,Scaphirhynchus_platorhynchus,Polyodon_spathula,Lepisosteus_oculatus,Lepisosteus_osseus,Lepisosteus_platostomus,Lepisosteus_spatula,Amia_calva,Anguilla_rostrata,Alosa_alabamae,Alosa_chrysochloris,Dorosoma_cepedianum,Dorosoma_petenense,Hiodon_alosoides,Hiodon_tergisus,Esox_americanus,Esox_niger,Campostoma_anomalum,Ericymba_buccata,Hybognathus_hayi,Hybognathus_nuchalis,Erimystax_aestivalis,Hybopsis_gracilis,Macrhybopsis_storeriana,Hybopsis_winchelli,Nocomis_leptocephalus,Notemigonus_crysoleucas,Notropis_amnis,Notropis_atherinoides,Notropis_atrocaudalis,Notropis_blennius,Notropis_boops,Notropis_buchanani,Cyprinella_camura,Notropis_chalybaeus,Luxilus_chrysocephalus,Lythrurus_fumeus,Notropis_longirostris,Cyprinella_lutrensa,Notropis_maculatus,Notropis_potteri,Lythrurus_roseipinnis,Notropis_sabinae,Notropis_shumardi,Pteronotropis_signipinnis,Notropis_texanus,Lythrurus_umbratilis,Cyprinella_venusta,Notropis_volucellus,Pteronotropis_welaka,Cyprinella_whipplei,Opsopoeodus_emiliae,Phenacobius_mirabilis,Pimephales_notatus,Pimephales_promelas,Pimephales_vigilax,Semotilus_atromaculatus,Carpiodes_carpio,Carpiodes_cyprinus,Carpiodes_velifer,Cycleptus_elongatus,Erimyzon_oblongus,Erimyzon_sucetta,Erimyzon_tenuis,Hypentelium_nigricans,Ictiobus_bubalus,Ictiobus_cyprinellus,Ictiobus_niger,Minytrema_melanops,Moxostoma_carinatum,Moxostoma_poecilurum,Ictalurus_furcatus,Ameiurus_melas,Ameiurus_natalis,Ameiurus_nebulosus,Ictalurus_punctatus,Noturus_funebris,Noturus_gyrinus,Noturus_leptacanthus,Noturus_miurus,Noturus_munitus,Noturus_nocturnus,Noturus_phaeus,Pylodictis_olivaris,Aphredoderus_sayanus,Fundulus_chrysotus,Fundulus_notatus,Fundulus_notti,Fundulus_olivaceus,Gambusia_affiis,Heterandria_formosa,Poecilia_latipinna,Labidesthes_sicculus,Menidia_audens,Morone_chrysops,Morone_mississipiensis,Ambloplites_rupestris,Centrarchus_macropterus,Lepomis_cyanellus,Lepomis_gulosus,Lepomis_humilis,Lepomis_macrochirus,Lepomis_marginatus,Lepomis_megalotis,Lepomis_microlohus,Lepomis_punctatus,Lepomis_symmetricus,Micropterus_punctulatus,Micropterus_salmoides,Pomoxis_annularis,Pomoxis_nigromaculatus,Elassoma_zonatum,Crystallaria_asprella,Ammocrypta_beani,Ammocrypta_clara,Ammocrypta_vivax,Etheostoma_asprigene,Etheostoma_caeruleum,Etheostoma_chlorosomum,Etheostoma_collettei,Etheostoma_fusiforme,Etheostoma_gracile,Etheostoma_histrio,Etheostoma_parvipinne,Etheostoma_proeliare,Etheostoma_stigmaeum,etheostoma_swaini,Etheostoma_whipplei,Etheostoma_lynceum,Percina_caprodes,Percina_copelandi,Percina_lenticula,Percina_macrolepida,Percina_maculata,Percina_nigrofasciatus,Percina_ouachitae,Percina_sciera,Percina_shumardi,Sander_canadense,Aplodinotus_grunniens
Sabine,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1
Calcasieu,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
Mermentau,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vermilion-Teche,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Atchafalaya,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Terrebonne,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Barataria,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pontchartrain,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1
Pearl,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1
Miss_FL_Parish,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1
